City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Temperature,Wind Speed
arrecife,0,TZ,1573204037,45,-10.73,38.81,89.64,8.48
davlekanovo,90,RU,1573204037,74,54.22,55.03,35.6,8.95
upernavik,0,GL,1573204037,65,72.79,-56.15,5.77,7.76
kisangani,96,CD,1573204038,55,0.52,25.21,87.73,2.13
olinda,40,AU,1573204038,70,-37.84,145.39,48.2,11.41
bacuit,40,AU,1573204038,70,-37.84,145.39,48.2,11.41
barguzin,3,RU,1573204038,87,53.62,109.63,28.96,3.94
mahbubnagar,54,IN,1573204038,58,16.74,77.99,85.05,5.37
kassala,0,SD,1573204038,26,15.45,36.38,94.84,4.0
ust-ishim,100,RU,1573204039,86,57.69,71.17,24.13,12.71
kanniyakumari,44,IN,1573204039,78,8.08,77.57,82.74,17.31
hambantota,75,LK,1573204039,84,6.12,81.12,86.0,12.75
asau,75,LK,1573204039,84,6.12,81.12,86.0,12.75
macheng,0,CN,1573204039,34,31.18,115.03,66.07,2.28
povoa de varzim,20,PT,1573204039,93,41.38,-8.76,46.4,2.24
paris,90,FR,1573203860,93,48.86,2.35,42.8,4.7
atar,65,MR,1573204040,25,20.52,-13.05,72.09,4.99
sattahip,20,TH,1573203809,58,12.67,100.9,87.8,5.82
dingle,0,PH,1573204040,86,11.0,122.67,78.55,8.48
lata,73,IN,1573204040,79,30.78,78.62,31.1,5.93
yashalta,34,RU,1573204040,51,46.34,42.27,62.69,10.29
hukuntsi,57,BW,1573204041,13,-23.98,21.76,89.15,4.72
maketu,56,NZ,1573204041,99,-37.76,176.45,57.83,2.42
guerrero negro,100,MX,1573204041,78,27.97,-114.04,66.13,6.64
sao jose da coroa grande,54,BR,1573204041,73,-8.9,-35.15,79.93,13.4
buraydah,40,SA,1573204041,35,26.33,43.97,87.8,13.87
ksenyevka,40,SA,1573204041,35,26.33,43.97,87.8,13.87
itarema,15,BR,1573204042,80,-2.92,-39.92,76.01,6.67
khandyga,99,RU,1573204042,98,62.65,135.58,-8.45,1.7
zhumadian,0,CN,1573203760,44,33.01,114.02,65.07,4.21
salalah,20,OM,1573204042,58,17.01,54.1,86.0,6.93
raudeberg,20,NO,1573204042,60,61.99,5.14,32.0,6.93
luzon,1,US,1573204042,87,38.01,-122.25,53.6,1.95
sakakah,1,US,1573204042,87,38.01,-122.25,53.6,1.95
port keats,14,AU,1573204043,60,-14.25,129.55,86.86,13.35
morro bay,90,US,1573203860,93,35.37,-120.85,53.6,5.82
ndele,90,US,1573203860,93,35.37,-120.85,53.6,5.82
kaduqli,0,SD,1573204043,19,11.01,29.72,92.25,11.65
bafia,91,CM,1573204043,77,4.74,11.22,78.22,3.02
umm lajj,0,SA,1573204044,30,25.02,37.27,90.45,11.74
urumqi,0,SA,1573204044,30,25.02,37.27,90.45,11.74
rosario,0,UY,1573204044,68,-34.31,-57.35,63.41,20.47
isangel,11,VU,1573204044,81,-19.55,169.27,71.96,10.04
capreol,90,CA,1573204044,78,46.71,-80.92,15.8,9.17
port augusta,0,AU,1573204044,48,-32.49,137.76,60.8,24.16
namatanai,95,PG,1573204045,74,-3.66,152.44,84.43,9.98
tateyama,20,JP,1573204045,58,36.66,137.31,53.6,1.12
fairbanks,90,US,1573204045,79,64.84,-147.72,21.2,4.7
nampula,75,MZ,1573204045,55,-15.12,39.26,86.0,10.29
yekaterinovka,65,RU,1573204045,39,46.69,38.75,68.47,6.73
shahr-e babak,18,IR,1573204045,22,30.12,55.12,66.09,4.38
gimbi,0,ET,1573204046,52,8.81,37.79,65.08,9.55
waddan,0,LY,1573204046,47,29.16,16.14,68.14,7.25
noumea,90,NC,1573204046,73,-22.28,166.46,71.6,1.12
tagab,20,AF,1573204046,20,34.85,69.65,57.2,3.36
roma,75,IT,1573203941,93,41.89,12.48,64.4,14.99
pavilosta,100,LV,1573204046,100,56.89,21.19,42.8,5.82
sitka,0,US,1573204047,31,37.17,-99.65,32.47,5.53
baykit,100,RU,1573204047,98,61.68,96.39,33.28,9.57
zhezkazgan,91,KZ,1573204047,45,47.8,67.71,48.2,13.42
namibe,100,AO,1573204047,86,-15.19,12.15,73.44,6.82
nizhniy kuranakh,25,RU,1573204047,97,58.84,125.49,-9.28,1.43
adrasmon,0,TJ,1573204047,35,40.65,69.99,55.4,4.47
kaeo,90,NZ,1573204048,93,-35.1,173.78,64.56,14.14
alugan,0,PH,1573204048,79,12.22,125.48,82.98,7.27
taman,96,RU,1573204048,31,45.22,36.72,75.2,4.47
burica,96,RU,1573204048,31,45.22,36.72,75.2,4.47
sarahan,62,IN,1573204048,71,31.51,77.79,37.85,7.7
hamada,75,JP,1573204049,67,34.9,132.08,62.6,3.36
agadir,90,MA,1573204049,100,30.42,-9.58,55.4,3.36
sobolevo,100,RU,1573204049,86,54.43,31.9,44.64,3.89
touros,40,BR,1573204049,88,-5.2,-35.46,73.4,3.36
hauterive,90,CA,1573204049,79,49.18,-68.27,26.6,5.82
najran,0,SA,1573204049,21,17.54,44.22,82.4,6.93
moose factory,75,CA,1573204050,77,51.26,-80.61,5.0,4.7
raduzhnyy,100,RU,1573204050,91,62.1,77.47,4.96,9.24
kupang,20,ID,1573204050,55,-10.16,123.6,89.6,17.22
kenai,40,US,1573204050,93,60.55,-151.26,42.8,3.36
gamboula,97,CF,1573204050,60,4.12,15.14,82.71,3.78
marcona,97,CF,1573204050,60,4.12,15.14,82.71,3.78
alexandria,22,RO,1573203788,58,43.97,25.33,65.79,13.71
papayal,99,EC,1573204051,85,-3.57,-80.23,71.65,2.98
vostok,100,RU,1573204051,92,46.45,135.83,14.61,8.46
san policarpo,0,PH,1573204051,79,12.18,125.51,82.98,7.27
fort-shevchenko,0,KZ,1573204051,72,44.51,50.26,56.48,18.45
binika,100,IN,1573204051,58,21.03,83.8,81.1,5.19
rognan,20,NO,1573204052,67,67.1,15.4,23.0,16.11
kigoma,75,TZ,1573204052,78,-4.88,29.64,77.0,9.17
moron,0,HT,1573204052,83,18.56,-74.26,78.24,3.78
zaranj,0,AF,1573204052,14,30.95,61.86,69.8,13.87
chumikan,100,RU,1573204052,56,54.72,135.31,14.41,19.08
caucaia,40,BR,1573204052,74,-3.73,-38.66,78.8,9.17
gorontalo,0,ID,1573204053,68,0.54,123.06,81.7,3.24
tucurui,100,BR,1573204053,86,-3.77,-49.67,75.38,5.06
ulladulla,100,AU,1573204053,39,-35.36,150.48,62.6,19.46
waingapu,0,ID,1573204053,78,-9.65,120.26,83.16,15.14
labuhan,98,ID,1573204053,59,-2.54,115.51,88.18,3.65
liverpool,0,GB,1573203853,81,53.41,-2.98,42.8,9.17
tres picos,3,MX,1573204054,84,16.23,-93.58,68.36,9.06
muros,75,ES,1573204054,100,42.77,-9.06,42.8,4.7
severo-kurilsk,91,RU,1573204054,93,50.68,156.12,31.01,30.53
ust-kuyga,100,RU,1573204054,97,70.0,135.55,-6.22,4.94
kiama,42,AU,1573204054,39,-34.67,150.86,62.6,19.46
ouesso,99,CG,1573204054,52,1.61,16.05,87.69,4.21
srednekolymsk,100,RU,1573204055,93,67.46,153.71,4.08,3.74
katsuura,20,JP,1573204055,51,33.93,134.5,60.8,5.82
yatou,40,CM,1573204055,79,3.63,9.81,84.2,4.7
havoysund,75,NO,1573204055,92,71.0,24.66,30.2,9.17
bridlington,100,GB,1573204055,87,54.08,-0.19,44.6,11.41
salinas,90,US,1573204055,81,36.67,-121.66,53.6,3.36
aparan,0,AM,1573204056,43,40.59,44.36,57.2,1.12
alofi,0,NU,1573204056,94,-19.06,-169.92,73.4,4.7
mizan teferi,100,ET,1573204056,75,6.99,35.58,72.18,2.24
baicheng,20,CN,1573204056,27,45.61,122.87,36.27,7.45
lock haven,1,US,1573204056,68,41.14,-77.45,32.0,8.05
sorland,75,NO,1573204057,73,67.67,12.69,32.0,13.87
shubarshi,100,KZ,1573204057,81,48.59,57.19,37.11,11.01
port blair,100,IN,1573204057,78,11.67,92.75,82.9,11.72
nome,90,US,1573204057,100,30.04,-94.42,57.2,11.41
cody,1,US,1573203914,30,44.53,-109.06,42.8,4.7
kattivakkam,20,IN,1573204057,49,13.22,80.32,93.2,5.82
kidal,0,ML,1573204058,12,18.44,1.41,90.73,5.84
aquiraz,40,BR,1573204058,74,-3.9,-38.39,78.8,9.17
dolbeau,40,BR,1573204058,74,-3.9,-38.39,78.8,9.17
barkhan,0,PK,1573204058,22,29.9,69.52,63.52,1.32
ijaki,0,PK,1573204058,22,29.9,69.52,63.52,1.32
cap-aux-meules,100,CA,1573204058,98,47.38,-61.86,33.66,23.22
puerto escondido,0,MX,1573204059,70,15.86,-97.07,70.18,5.12
yanam,20,IN,1573204059,66,16.73,82.22,87.8,4.7
makushino,100,RU,1573204059,82,55.21,67.25,33.13,17.94
saleaula,100,RU,1573204059,82,55.21,67.25,33.13,17.94
upington,100,ZA,1573204059,14,-28.46,21.24,77.0,5.82
riberalta,100,BO,1573204059,97,-11.0,-66.08,71.92,1.48
neiafu,0,TO,1573204060,81,-18.65,-173.98,78.03,12.33
boyolangu,2,ID,1573204060,61,-8.09,111.9,82.85,11.9
broken hill,40,AU,1573204060,25,-31.97,141.45,66.2,24.16
mount darwin,0,ZW,1573204060,19,-16.77,31.58,95.72,6.69
tsogni,82,GA,1573204060,81,-2.79,10.1,81.34,10.33
mildura,40,AU,1573204060,33,-34.18,142.16,62.6,17.22
qabis,40,AU,1573204060,33,-34.18,142.16,62.6,17.22
harper,90,US,1573204061,93,30.3,-99.24,39.2,5.82
rawson,20,AR,1573204061,61,-43.3,-65.11,52.39,22.03
teneguiban,20,AR,1573204061,61,-43.3,-65.11,52.39,22.03
sinkat,20,AR,1573204061,61,-43.3,-65.11,52.39,22.03
xining,3,CN,1573204061,35,36.62,101.77,48.16,6.82
warqla,3,CN,1573204061,35,36.62,101.77,48.16,6.82
awjilah,0,LY,1573204062,50,29.14,21.3,76.73,12.33
wukari,41,NG,1573204062,56,7.87,9.78,89.87,0.69
egvekinot,11,RU,1573204062,84,66.32,-179.17,14.59,10.54
nandu,0,CN,1573204062,45,31.44,119.33,64.4,4.47
batagay,91,RU,1573204062,96,67.65,134.64,-5.59,2.28
torbay,75,CA,1573204063,80,47.66,-52.73,39.2,14.99
kuytun,12,RU,1573204063,88,54.34,101.51,31.98,4.65
ambilobe,94,MG,1573204063,36,-13.19,49.05,96.15,11.56
rosarito,100,CO,1573204063,86,4.91,-75.23,65.28,3.02
tomatlan,100,MX,1573204063,89,19.93,-105.25,69.3,2.73
slavyanka,0,RU,1573204063,38,42.86,131.39,38.23,9.1
gambo,0,CF,1573204064,49,4.65,22.26,87.91,3.58
talawdi,0,CF,1573204064,49,4.65,22.26,87.91,3.58
segezha,100,RU,1573204064,90,63.74,34.31,23.88,7.87
lorengau,93,PG,1573204064,80,-2.02,147.27,82.33,11.34
meulaboh,100,ID,1573204064,69,4.14,96.13,81.99,4.59
aykhal,90,RU,1573204064,83,65.95,111.51,-11.21,6.71
ostrovnoy,100,RU,1573204064,89,68.05,39.51,17.15,7.61
parati,40,BR,1573204065,100,-20.51,-54.63,71.6,3.36
queenstown,12,ZA,1573204065,27,-31.89,26.88,66.83,5.61
fort nelson,90,CA,1573204065,85,58.81,-122.69,17.6,12.75
masaurhi,75,IN,1573204065,58,25.35,85.03,82.4,4.7
ajdabiya,0,LY,1573204065,48,30.75,20.22,74.23,8.63
rusape,0,ZW,1573204066,19,-18.53,32.12,92.37,4.27
san ignacio,76,PE,1573204066,98,-5.15,-79.0,57.51,1.5
palabuhanratu,76,PE,1573204066,98,-5.15,-79.0,57.51,1.5
portland,75,US,1573204066,68,43.66,-70.25,33.8,10.29
narsaq,100,GL,1573204066,33,60.91,-46.05,44.6,18.34
te anau,93,NZ,1573204066,90,-45.41,167.72,47.41,3.18
comodoro rivadavia,0,AR,1573204067,48,-45.87,-67.48,44.6,9.17
kapoeta,0,AR,1573204067,48,-45.87,-67.48,44.6,9.17
sovetskiy,23,RU,1573204067,55,56.76,48.47,29.68,7.63
olean,90,US,1573203821,79,42.08,-78.43,26.6,9.17
manono,92,CD,1573204067,65,-7.3,27.4,83.23,3.65
burnie,33,AU,1573204067,58,-41.05,145.91,48.72,14.5
nguiu,33,AU,1573204067,58,-41.05,145.91,48.72,14.5
flin flon,100,CA,1573204068,85,54.77,-101.88,13.62,6.11
nishihara,75,JP,1573204068,67,35.74,139.53,60.8,12.75
zaysan,67,KZ,1573204068,38,47.47,84.87,38.97,4.29
ornskoldsvik,99,SE,1573204068,79,63.29,18.72,26.6,5.82
chifeng,48,CN,1573203782,43,42.27,118.96,39.76,1.5
baghdad,0,IQ,1573203791,33,33.3,44.38,75.2,9.17
medicine hat,1,CA,1573204069,68,50.04,-110.68,26.6,12.75
aksaray,0,TR,1573204069,23,38.37,34.03,66.2,4.7
seguela,21,CI,1573204069,77,7.96,-6.67,79.59,3.13
bur gabo,21,CI,1573204069,77,7.96,-6.67,79.59,3.13
jalalabad,20,AF,1573204069,48,34.43,70.46,66.2,2.82
grenchen,75,CH,1573204070,93,47.2,7.4,44.6,2.24
cap malheureux,75,MU,1573204070,61,-19.98,57.61,78.8,17.22
takaungu,40,KE,1573204070,74,-3.68,39.86,84.2,9.17
buala,100,SB,1573204070,78,-8.15,159.59,80.92,2.04
sola,51,TZ,1573204070,40,-3.17,33.8,83.57,7.61
beringovskiy,68,RU,1573204070,93,63.05,179.32,25.11,15.59
yeniseysk,100,RU,1573204071,97,58.45,92.17,32.4,12.12
umm kaddadah,0,SD,1573204071,10,13.6,26.69,87.1,16.49
nageshwari,96,BD,1573204071,53,25.94,89.71,85.44,5.99
pocone,96,BR,1573204071,96,-16.26,-56.62,72.93,1.95
zimmi,27,SL,1573204071,83,7.31,-11.31,80.82,0.34
hirara,40,JP,1573203865,69,24.8,125.28,75.2,19.46
mocuba,78,MZ,1573204072,19,-16.84,36.99,104.27,7.47
ilheus,40,BR,1573204072,100,-14.79,-39.05,73.4,4.7
shimoda,20,JP,1573204072,45,34.7,138.93,62.6,3.36
gorno-chuyskiy,20,JP,1573204072,45,34.7,138.93,62.6,3.36
coolum beach,0,AU,1573204072,46,-26.53,153.09,78.06,7.7
biak,0,ID,1573204072,72,-0.91,122.88,83.05,15.9
jumla,79,NP,1573204072,37,29.28,82.18,57.85,6.55
sataua,79,NP,1573204072,37,29.28,82.18,57.85,6.55
trincomalee,23,LK,1573204073,60,8.58,81.23,88.34,5.7
vetapalem,99,IN,1573204073,69,15.78,80.32,86.0,9.55
samoded,100,RU,1573204073,86,63.61,40.52,18.32,5.17
reconquista,0,AR,1573204074,90,-29.14,-59.64,62.51,6.17
hurghada,0,AR,1573204074,90,-29.14,-59.64,62.51,6.17
nanortalik,93,GL,1573204074,71,60.14,-45.24,34.2,9.33
dukat,21,AL,1573204074,71,40.25,19.57,66.9,8.95
vagur,74,FO,1573204074,58,61.47,-6.81,40.95,10.22
huilong,74,CN,1573204074,71,31.15,106.5,63.16,3.31
santa rosa,67,AR,1573204075,57,-36.62,-64.29,52.86,14.05
jizan,40,SA,1573204075,63,16.89,42.56,91.4,10.29
coahuayana,2,MX,1573204075,88,18.62,-100.35,69.84,2.33
zmeinogorsk,100,RU,1573204075,53,51.15,82.2,40.01,22.03
hit,0,IQ,1573204075,16,33.64,42.83,79.34,8.84
tahoua,0,NE,1573204076,12,14.89,5.26,87.8,11.41
santa cruz,4,BR,1573204076,74,-6.22,-36.02,73.4,9.75
camacha,75,PT,1573204076,55,33.08,-16.33,66.2,11.41
coquimbo,90,CL,1573204076,93,-29.95,-71.34,55.4,4.7
cockburn town,0,TC,1573204076,79,21.46,-71.14,81.45,16.42
pacific grove,90,US,1573204076,81,36.62,-121.92,53.6,3.36
bilibino,100,RU,1573204077,73,68.06,166.44,10.08,3.42
wagrowiec,39,PL,1573204077,87,52.81,17.2,44.6,3.36
kudahuvadhoo,9,MV,1573204077,77,2.67,72.89,82.2,14.38
russell,1,US,1573204077,67,38.9,-98.86,24.8,10.29
taguatinga,40,BR,1573204077,88,-15.83,-48.06,69.8,2.24
tuy hoa,100,VN,1573204077,72,13.08,109.3,79.03,24.49
avera,90,US,1573204077,82,33.19,-82.53,60.8,4.7
lufilufi,75,WS,1573204078,94,-13.87,-171.6,78.8,4.7
muravlenko,100,RU,1573204078,96,63.79,74.5,-3.97,16.55
gazni,100,RU,1573204078,96,63.79,74.5,-3.97,16.55
isabela,4,PH,1573204078,88,10.2,122.99,74.98,6.46
phek,100,IN,1573204078,60,25.7,94.46,73.81,2.42
obra,75,IN,1573204078,37,24.47,82.99,82.53,5.08
bambous virieux,75,MU,1573204079,61,-20.34,57.76,78.8,17.22
nova odessa,70,BR,1573204079,88,-22.78,-47.29,68.0,3.36
san cristobal,65,HN,1573204079,98,14.68,-86.92,64.18,2.73
tutoia,0,BR,1573204079,83,-2.76,-42.27,73.89,5.12
yeppoon,0,AU,1573204079,33,-23.13,150.74,87.8,12.75
yumen,100,CN,1573204079,27,40.29,97.04,50.67,21.16
kichera,100,RU,1573204080,97,55.93,110.1,25.48,5.53
padang,100,ID,1573204080,80,-0.92,100.36,76.21,2.98
fershampenuaz,100,RU,1573204080,85,53.52,59.82,41.32,8.3
pangody,100,RU,1573204080,95,65.85,74.49,-0.42,16.53
khomeynishahr,100,RU,1573204080,95,65.85,74.49,-0.42,16.53
camocim,40,BR,1573204080,77,-2.9,-40.84,76.17,7.9
am timan,0,TD,1573204081,20,11.04,20.28,93.22,4.23
aksu,90,KZ,1573204081,64,52.04,76.93,37.4,22.37
lukovetskiy,75,RU,1573204081,85,64.29,41.92,21.2,8.95
graciano sanchez,100,MX,1573204081,98,23.92,-99.28,56.82,4.21
humaita,40,AR,1573204081,93,-24.93,-65.37,71.6,1.83
valera,98,VE,1573204081,74,9.31,-70.61,67.71,3.38
port lincoln,78,AU,1573204082,59,-34.72,135.86,54.41,16.4
petrolandia,78,AU,1573204082,59,-34.72,135.86,54.41,16.4
ingham,10,AU,1573204082,68,-18.65,146.16,72.7,2.35
watrous,100,CA,1573204082,91,51.67,-105.46,18.57,7.43
weihe,84,CN,1573204083,83,32.99,105.33,50.14,5.73
salinopolis,2,BR,1573204083,81,-0.61,-47.36,81.54,13.69
aksarka,19,RU,1573204083,82,66.56,67.8,-1.56,5.06
naryan-mar,22,RU,1573204083,89,67.67,53.09,8.82,8.14
brigantine,1,US,1573204083,80,39.41,-74.36,42.8,4.7
muzhi,0,RU,1573204084,78,65.4,64.7,9.16,15.46
geraldton,90,CA,1573204084,72,49.72,-86.95,10.4,4.7
haibowan,90,CA,1573204084,72,49.72,-86.95,10.4,4.7
kautokeino,91,NO,1573204084,97,69.01,23.04,3.34,1.39
tiarei,20,PF,1573204084,69,-17.53,-149.33,82.4,6.93
sao joao da barra,86,BR,1573204084,90,-21.64,-41.05,74.59,4.34
bargal,86,BR,1573204084,90,-21.64,-41.05,74.59,4.34
gizo,20,IL,1573204085,37,31.8,34.94,82.4,5.82
lokosovo,80,RU,1573204085,85,61.13,74.84,6.96,10.4
banjar,3,ID,1573204085,49,-7.37,108.54,86.56,6.35
porto velho,20,BR,1573204085,94,-8.75,-63.87,77.0,3.36
hamilton,75,CA,1573204057,85,43.26,-79.87,28.4,5.82
ojinaga,90,US,1573204086,81,29.56,-104.41,51.8,7.83
puerto rondon,4,CO,1573204086,96,6.28,-71.1,72.21,4.65
nassau,75,AT,1573204086,93,46.81,15.34,42.8,2.24
arkhangelsk,75,RU,1573204086,85,64.54,40.54,21.2,8.95
acapulco,40,MX,1573203998,88,16.86,-99.88,78.8,2.82
isla mujeres,20,MX,1573204087,100,21.23,-86.73,73.4,4.7
dzerzhinskoye,100,RU,1573204087,80,56.84,95.22,34.7,11.72
ordu,0,TR,1573204087,49,40.98,37.88,71.6,1.12
kalaleh,0,IR,1573204087,42,37.38,55.49,68.0,4.7
siderno,5,IT,1573204087,55,38.28,16.3,64.4,3.36
bodden town,0,KY,1573204088,79,19.28,-81.25,82.85,12.1
ballangen,0,NO,1573204088,92,68.34,16.83,10.4,14.99
labytnangi,9,RU,1573204088,83,66.66,66.39,1.85,8.1
butembo,100,CD,1573204088,81,0.12,29.29,72.88,2.86
freeport,55,BS,1573204088,77,26.54,-78.7,78.82,5.84
kabwe,0,ZM,1573204089,18,-14.44,28.44,96.46,6.4
san carlos de bariloche,100,AR,1573204089,44,-41.13,-71.31,37.4,4.7
khair,67,IN,1573204089,30,27.94,77.84,84.67,1.81
tarakan,40,ID,1573204089,79,3.3,117.63,86.0,8.84
bathsheba,75,BB,1573204089,78,13.22,-59.52,82.4,13.87
gbarnga,54,LR,1573204090,84,7.0,-9.47,78.64,1.19
grand-santi,51,GF,1573204090,99,4.27,-54.38,72.03,1.86
sentyabrskiy,51,GF,1573204090,99,4.27,-54.38,72.03,1.86
pompeu,40,BR,1573204090,69,-21.05,-48.85,77.0,4.7
dordrecht,0,NL,1573204090,87,51.8,4.68,42.8,9.17
dhidhdhoo,100,MV,1573204090,78,6.88,73.1,82.2,10.2
pozo colorado,97,PY,1573204090,82,-23.49,-58.8,75.56,4.09
khvoynaya,100,RU,1573204091,95,58.9,34.53,28.49,5.37
puerto narino,75,CO,1573204091,100,-3.77,-70.38,75.2,2.24
belmonte,0,PT,1573204091,85,40.36,-7.35,40.51,6.78
bukachacha,100,RU,1573204091,89,52.99,116.91,17.73,2.08
port hedland,53,AU,1573204091,25,-20.31,118.58,98.6,14.99
cumaribo,53,AU,1573204091,25,-20.31,118.58,98.6,14.99
methoni,40,GR,1573204092,72,36.82,21.7,66.2,12.41
